source_id,chapter_id,transcript_anchor,item_type,attributed_author,work_title,quoted_or_paraphrased_text,claimed_locator,verified_text,edition_or_translation,publisher,year,page_or_section,canonical_url,accessed_at,verification_status,discrepancy,permission_status,reviewer
SRC-001,,,quote,Joseph Ratzinger,Introduction to Christianity,“We cannot overlook the fact that we are now touching a realm in which Christian theology must be more aware of its limits than it has often been in the past; a realm in which any false...,162,,"English trans. J. R. Foster (2004 reissue, ISBN 1586170295)","Ignatius Press, San Francisco (scan catalogued 'Communio Books, San Francisco, CA'); orig. Herder & Herder, New York",2004 (orig. 1969),,https://archive.org/details/introductiontoch0000bene_v8m7 ; https://openlibrary.org/books/OL26818642M/Introduction_to_Christianity,2026-09-16,LOCATOR_MISSING,"Wording confirmed verbatim in OCR of the 2004 edition scan (ISBN 1586170295) via Open Library search-inside: 'false forthrightness', 'wondering attendance', 'the' mysterium itself' all match; DOCX renders 'the' in single quotes where print has double quotes. Claimed page 162 not establishable (Google Books API quota-blocked; scan lending-restricted). See verified_excerpts/SRC-001.md.",PERMISSION_REVIEW (copyrighted book quotation — Ignatius Press; permission needed),pipeline-researcher
SRC-002,,,quote,Joseph Ratzinger,Introduction to Christianity,"“When one looks at the history of the dogma of the Trinity as it is reflected in a present-day manual of theology, it looks like a graveyard of heresies, whose emblems theology still carries around...",172,,"English trans. J. R. Foster (2004 reissue, ISBN 1586170295)","Ignatius Press, San Francisco (scan catalogued 'Communio Books, San Francisco, CA'); orig. Herder & Herder, New York",2004 (orig. 1969),,https://archive.org/details/introductiontoch0000bene_v8m7 ; https://openlibrary.org/books/OL26818642M/Introduction_to_Christianity,2026-09-16,LOCATOR_MISSING,Wording confirmed verbatim in OCR of the 2004 edition scan; 2004-specific reading 'carries around' (1969/1990 printings: 'carries round') matches DOCX. In the 298-page printings the passage is on printed p. 123 (running head 'BELIEF IN THE TRIUNE GOD 123'); claimed p. 172 applies to the 2004 typesetting only and could not be verified. DOCX ellipsis 'matter….On' (print: 'matter. . . .'). See verified_excerpts/SRC-002.md.,PERMISSION_REVIEW (copyrighted book quotation — Ignatius Press; permission needed),pipeline-researcher
SRC-003,,,quote,Joseph Ratzinger,Introduction to Christianity,“We know today that in a physical experiment the observer himself enters into the experiment and only by doing so can arrive at a physical experience. This means that there is no such thing as pure...,175,,"English trans. J. R. Foster (2004 reissue, ISBN 1586170295)","Ignatius Press, San Francisco (scan catalogued 'Communio Books, San Francisco, CA'); orig. Herder & Herder, New York",2004 (orig. 1969),,https://archive.org/details/introductiontoch0000bene_v8m7 ; https://openlibrary.org/books/OL26818642M/Introduction_to_Christianity,2026-09-16,LOCATOR_MISSING,"Wording confirmed in OCR of the 2004 edition scan ('no such thing as pure objectivity', 'a bit of the human subject', 'a mere observer' all match). Blend detected: DOCX 'something of man, of what is characteristically ours' conflates the 1969/1990 reading 'something of man, of our individuality,' with the 2004 reading 'of what is characteristically ours,' — flag for human review. Page 175 unverified. See verified_excerpts/SRC-003.md.",PERMISSION_REVIEW (copyrighted book quotation — Ignatius Press; permission needed),pipeline-researcher
SRC-004,C04,,quote,Pope Benedict XVI,Sermon,“It is really so: the purpose of our lives is to reveal God to men. And only where God is seen does life truly begin. Only when we meet the living God in Christ do we know what life is. We are not...,"April 24, 2005","It is really so: the purpose of our lives is to reveal God to men. And only where God is seen does life truly begin. Only when we meet the living God in Christ do we know what life is. We are not some casual and meaningless product of evolution. Each of us is the result of a thought of God. Each of us is willed, each of us is loved, each of us is necessary. There is nothing more beautiful than to be surprised by the Gospel, by the encounter with Christ. There is nothing more beautiful than to know Him and to speak to others of our friendship with Him.",Official Vatican English translation,Libreria Editrice Vaticana (vatican.va),2005,"Homily, Mass for the inauguration of the Pontificate, St. Peter's Square, 24 April 2005",https://www.vatican.va/content/benedict-xvi/en/homilies/2005/documents/hf_ben-xvi_hom_20050424_inizio-pontificato.html,2026-09-16,VERIFIED_EXACT,Owner 2026-09-16: full quote restored in Ch. 4 from the DOCX (matches vatican.va verbatim); 31.4s audio gap noted.,NOTE — © Libreria Editrice Vaticana; short excerpt with attribution,pipeline-researcher
SRC-005,C06,,canon,,Code of Canon Law,"Since lay people, like all Christ’s faithful, are deputed to the apostolate by baptism and confirmation, they are bound by the general obligation and they have the right, whether s individuals or in...",Can. 225.1,"Can. 225 §1. Since, like all the Christian faithful, lay persons are designated by God for the apostolate through baptism and confirmation, they are bound by the general obligation and possess the right as individuals, or joined in associations, to work so that the divine message of salvation is made known and accepted by all persons everywhere in the world. This obligation is even more compelling in those circumstances in which only through them can people hear the gospel and know Christ.","Code of Canon Law (1983), official English translation (vatican.va)",Libreria Editrice Vaticana,1983,"Book II, Title II, Can. 225 §1",https://www.vatican.va/archive/cod-iuris-canonici/eng/documents/cic_lib2-cann208-329_en.html,2026-09-16,VERIFIED_MINOR_VARIANT,"DOCX wording ('deputed to the apostolate', 'all the more insistent') matches the CLSA (Canon Law Society of America) translation, not the official vatican.va English ('designated by God', 'even more compelling'); same doctrine. DOCX also has transcription error 'whether s individuals' (missing 'a' in 'as'). See verified_excerpts/SRC-005.md. Owner 2026-09-16: Vatican English translation chosen for the book.",NOTE — canon text public; CLSA translation © Canon Law Society of America if used,pipeline-researcher
SRC-006,C06,,canon,,Code of Canon Law,"Since the whole Church is by its nature missionary and the work of evangelization must be held as a fundamental duty of the people of God, all the Christian faithful, conscious of their responsibility, are to assume their part in missionary work.",Can. 781,"Can. 781 Since the whole Church is by its nature missionary and the work of evangelization must be held as a fundamental duty of the people of God, all the Christian faithful, conscious of their responsibility, are to assume their part in missionary work.","Code of Canon Law (1983), official English translation (vatican.va)",Libreria Editrice Vaticana,1983,"Book III, Title II, Can. 781",https://www.vatican.va/archive/cod-iuris-canonici/eng/documents/cic_lib3-cann781-792_en.html,2026-09-16,VERIFIED_EXACT,,NOTE — canon text public,pipeline-researcher
SRC-007,C02,,catechism,,Catechism of the Catholic Church,"The mystery of the Most Holy Trinity is the central mystery of Christian faith and life. It is the mystery of God in himself. It is therefore the source of all the other mysteries of faith, the light...",234,"234 The mystery of the Most Holy Trinity is the central mystery of Christian faith and life. It is the mystery of God in himself. It is therefore the source of all the other mysteries of faith, the light that enlightens them. It is the most fundamental and essential teaching in the ""hierarchy of the truths of faith.""56 The whole history of salvation is identical with the history of the way and the means by which the one true God, Father, Son and Holy Spirit, reveals himself to men ""and reconciles and unites with himself those who turn away from sin.""57 (fn. 56 GCD 43; fn. 57 GCD 47)","Catechism of the Catholic Church, official English translation (vatican.va, ENG0015)",Libreria Editrice Vaticana,1993 (Latin editio typica 1997),"Part One, Section Two, Ch. 1, ¶234",https://www.vatican.va/archive/ENG0015/__P17.HTM,2026-09-16,VERIFIED_EXACT,"Matches vatican.va text; DOCX renders footnotes 56/57 inline as '(GCD 43)' and '(GCD 47)' (correct) and writes 'Father, Son, and Holy Spirit' with Oxford comma (official page: 'Father, Son and Holy Spirit').",NOTE — CCC English © Libreria Editrice Vaticana/USCCB; attribution required,pipeline-researcher
SRC-008,C04,,catechism,,Catechism of the Catholic Church,"There is no limit or measure to this essentially divine forgiveness, whether one speaks of “sins” as in Luke (11:4), or “debts” as in Matthew (6:12). We are always debtors: “Owe no one anything,...",2845,"2845 There is no limit or measure to this essentially divine forgiveness, whether one speaks of ""sins"" as in Luke (11:4), ""debts"" as in Matthew (6:12). We are always debtors: ""Owe no one anything, except to love one another.""147 The communion of the Holy Trinity is the source and criterion of truth in every relationship. It is lived out in prayer, above all in the Eucharist.148 God does not accept the sacrifice of a sower of disunion, but commands that he depart from the altar so that he may first be reconciled with his brother. For God can be appeased only by prayers that make peace. To God, the better offering is peace, brotherly concord, and a people made one in the unity of the Father, Son, and Holy Spirit.149 (fn. 149: St. Cyprian, De Dom. orat. 23: PL 4, 535-536; cf. Mt 5:24)","Catechism of the Catholic Church, official English translation (vatican.va, ENG0015)",Libreria Editrice Vaticana,1993 (Latin editio typica 1997),"Part Four, Section Two, Article 3, ¶2845",https://www.vatican.va/archive/ENG0015/__PAB.HTM,2026-09-16,VERIFIED_MINOR_VARIANT,"St. Cyprian passage and citation match exactly (DOCX prints en-dash '535–536'). DOCX variants: inserts 'or' before '""debts""' (not in official text); renders fn. 147 inline with odd spacing '.( Rom 13:8.)'.",NOTE — CCC English © Libreria Editrice Vaticana/USCCB; attribution required,pipeline-researcher
SRC-009,,,catechism_section,,Catechism of the Catholic Church,"“I Believe In God The Father Almighty, Creator Of Heaven And Earth”",199-267,"Spot checks verified against vatican.va (pages __P16/__P17): ¶199 opening matches; ¶234 exact (see SRC-007); ¶260 embedded prayer of Elizabeth of the Trinity exact, footnote 102 'Prayer of Blessed Elizabeth of the Trinity.'; ¶266 Athanasian Creed quote exact: ""Now this is the Catholic faith: We worship one God in the Trinity and the Trinity in unity, without either confusing the persons or dividing the substance; for the person of the Father is one, the Son's is another, the Holy Spirit's another; but the Godhead of the Father, Son and Holy Spirit is one, their glory equal, their majesty coeternal"" (Athanasian Creed: DS 75; ND 16).","Catechism of the Catholic Church, official English translation (vatican.va, ENG0015)",Libreria Editrice Vaticana,1993 (Latin editio typica 1997),"Part One, Section Two, Ch. 1, ¶¶199-267",https://www.vatican.va/archive/ENG0015/__P16.HTM ; https://www.vatican.va/archive/ENG0015/__P17.HTM,2026-09-16,PERMISSION_REVIEW,"70-paragraph range: translation identity = official CCC English; representative spot checks ¶199, ¶234, ¶260, ¶266 all exact (DOCX adds Oxford commas in 'Father, Son, and Holy Spirit' at ¶234/¶266). Length requires publisher permission review; doctrinal review by a qualified theologian recommended. Owner 2026-09-16: the ¶¶199-267 excerpt will NOT be printed; permissions handled later.",PERMISSION_REVIEW — long excerpt; CCC English © Libreria Editrice Vaticana/USCCB,pipeline-researcher
SRC-010,C02,,quote,St. John Henry Newman,The Individuality of the Soul,"Nothing is more difficult than to realize that every man has a distinct soul, that every one of all the millions who live or have lived, is as whole and independent a being in himself, as if there...",,"Nothing is more difficult than to realize that every man has a distinct soul, that every one of all the millions who live or have lived, is as whole and independent a being in himself, as if there were no one else in the whole world but he. … He has a depth within him unfathomable, an infinite abyss of existence; and the scene in which he bears part for the moment is but like a gleam of sunshine upon its surface.","Parochial and Plain Sermons, Vol. IV, New Impression (Longmans, Green, and Co., 1909), Sermon VI 'The Individuality of the Soul', pp. 80-93; text via newmanreader.org (National Institute for Newman Studies)","Longmans, Green, and Co.",1909 impression (sermons first published 1839),"Vol. IV, Sermon VI, pp. 80-83 (quoted passages)",https://www.newmanreader.org/works/parochial/volume4/sermon6.html,2026-09-16,VERIFIED_EXACT,"All three DOCX excerpts match verbatim; the 'infinite abyss of existence' sentence spans printed pp. 82-83 (page break inside). DOCX heading 'An Infinite Abyss of Existence' is the DOCX's own descriptive title, not Newman's.",PUBLIC_DOMAIN (Newman d. 1890),pipeline-researcher
SRC-011,C02,,prayer,St. Elizabeth of the Trinity,"O My God, Trinity Whom I Adore","O my God, Trinity whom I adore, help me to forget myself entirely that I may be established in you as still and as peaceful as if my soul were already in eternity. May nothing trouble my peace or...",,"O my God, Trinity whom I adore, help me forget myself entirely so to establish myself in you, unmovable and peaceful as if my soul were already in eternity. May nothing be able to trouble my peace or make me leave you, O my unchanging God, but may each minute bring me more deeply into your mystery! Grant my soul peace. Make it your heaven, your beloved dwelling and the place of your rest. May I never abandon you there, but may I be there, whole and entire, completely vigilant in my faith, entirely adoring, and wholly given over to your creative action. (CCC ¶260, fn. 102: 'Prayer of Blessed Elizabeth of the Trinity.')","CCC ¶260 official English (the DOCX's second, embedded version); standalone DOCX version = translation unidentified","Libreria Editrice Vaticana (CCC ¶260); cf. I Have Found God: Complete Works vol. 1, trans. Aletheia Kane (ICS Publications)",1993 (CCC); prayer written 21 Nov. 1904,"CCC ¶260 (verified); prayer untitled in MSS ('Elevation to the Most Holy Trinity', 21 Nov. 1904)",https://www.vatican.va/archive/ENG0015/__P17.HTM,2026-09-16,VERIFIED_MINOR_VARIANT,"Two renderings in the DOCX. The ¶¶199-267 version matches CCC ¶260 exactly (verified). The standalone version in this row ('as still and as peaceful', 'O my Unchanging One', 'wholly surrendered to Your creative Action') matches no located published translation (checked: CCC/Kane, Dijon Carmel official site, O.Carm, Stanbrook 1914 — all differ). Authorship (St. Elizabeth of the Trinity) certain; translation unidentified. See verified_excerpts/SRC-011.md. Owner 2026-09-16: print CCC ¶260 official text (closest published translation); heard rendering differs slightly. Ch. 2 and Ch. 4 opening prayers now print CCC ¶260.",REVIEW — translation unidentified; Kane tr. © ICS Publications if used,pipeline-researcher
SRC-012,C01,,hymn,St. Patrick,St Patrick’s Breastplate,"I bind unto myself today The strong Name of the Trinity, By invocation of the same, The Three in One and One in Three. I bind this day to me for ever. By power of faith, Christ’s incarnation; His...",,"I bind unto myself today / The strong Name of the Trinity, / By invocation of the same, / The Three in One and One in Three. / I bind this day to me for ever, / By power of faith, Christ's Incarnation; / His baptism in the Jordan river; / His death on Cross for my salvation; / His bursting from the spicèd tomb; / His riding up the heavenly way; / His coming at the day of doom; / I bind unto myself today.","Cecil Frances Alexander's translation (1889), first published in the appendix to the Church of Ireland Church Hymnal (1890); text per The New English Hymnal #159 / hymnary.org",Church of Ireland Church Hymnal appendix (1890),1889,"Hymn, stanzas 1-2 (of 9)",https://hymnary.org/text/i_bind_unto_myself_today,2026-09-16,VERIFIED_MINOR_VARIANT,"Text = Alexander's translation (verified). The DOCX asterisk line 'His coming at the day of doom;*' matches the web rendering at prayerfoundation.org (Wayback 2015), whose footnote glosses 'day of doom' as Old English for 'Day of Judgment'; no printed hymnal carries the asterisk — web-only glossing artifact. Hymnal variants: EH1982 #370 'spiced' (no accent) and 'for ever,' (comma); NEH #159 'spicèd' and 'for ever,'. DOCX has 'for ever.' (period) and lowercase 'Christ's incarnation'. Owner 2026-09-16: asterisk dropped.",PUBLIC_DOMAIN (translator d. 1895),pipeline-researcher
SRC-013,C01,,artwork,Andrei Rublev,Trinity,"Andrei Rublev, Trinity",,,,"State Tretyakov Gallery, Moscow (inv. no. 13012)",c. 1411 or 1425-1427 (disputed; Britannica 'about 1410'),"Tempera (levkas and tempera on wood), 142 × 114 cm",https://www.tg-m.ru/catalog/en/picture/22115,2026-09-16,VERIFIED_EXACT,"No quoted text (artwork item). Facts verified: Andrei Rublev (c. 1360-1430), The Holy Trinity (Old Testament Trinity), tempera on wood, 142 × 114 cm, Tretyakov Gallery, Moscow (inv. 13012). Dating disputed (1411 vs 1425-1427). Note: in 2023 the icon was transferred to Russian Orthodox Church custody (Cathedral of Christ the Saviour) — update any location statement. See verified_excerpts/SRC-013.md. Owner 2026-09-16: most accurate dating chosen; see SRC-013-dating.md (c. 1411 or 1425-1427; ROC custody). [SRC-013-dating.md pending — integrate when written.] Owner 2026-09-16: 'most accurate' research integrated — installed in Trinity Cathedral iconostasis 23 June 2024 (RIA); 12-14 Sept 2026 display-case failure, removed for restoration (Meduza); see SRC-013-dating.md.",RIGHTS_REVIEW — image reproduction rights required,pipeline-researcher
