recording_id,timestamp,detected_text,match_type,notes
C01_icons_of_the_trinity,00:00:01,"[00:00:01] Fr. Peter: We'll begin with the prayer, the last part of the prayer of St. Patrick's Breastplate. In the name of the Father, and of the Son, and of the Holy Spirit. Amen. I bind unto myself the name, the strong name of the Trinity, by invocation of the same, the three in one, and one in three, of whom all nature hath creation, eternal Father, Spirit, Word. Praise to the Lord of my salvation. Salvation is of Christ the Lord. Amen.",named_source,
C01_icons_of_the_trinity,00:00:33,"[00:00:33] Fr. Peter: In the name of the Father, and of the Son, and of the Holy Spirit. Amen. The impetus for this retreat, and why I picked this particular topic, was to recognize another saint that is during the month of March — one, though — even though he's not of the same status as Saint Joseph — gets maybe more celebration, at least in our country and in Ireland. And that is the saint, Saint Patrick. Saint Patrick, who was known for his evangelization of the peoples of Ireland during the 400s — after having been a slave in Ireland, having learned the language and escaping, he came back to evangelize the same place where he was held in slavery. And he was going up against a pagan religion — the religion of Druidism — a pagan religion that saw spirits in nature, a respect for trees and certainly plants, and had its own customs and rituals, high priests, wizards, and very many problems morally.",named_source,
C01_icons_of_the_trinity,00:01:42,"[00:01:42] Fr. Peter: And the biggest problem is they didn't believe in God and needed to be converted. St. Patrick ached to be able to help convert this land, and he came in, and having known the language, he was able to preach to the people of Ireland — many miracles attested to the power of God with him. And when he preached, he did not shy away from the central mystery of our faith, and that is the Trinity. We have the prayer of St. Patrick, St. Patrick's Breastplate, of which we began this conference. And we also have the story of the shamrock, how the shamrock was used to illustrate to a people that may be caught up with botanical language how something can be both one and three, that it can share the same life, be connected in the same way, but yet be distinct at the same time. How could God be three persons and one God?",named_source,
C01_icons_of_the_trinity,00:02:33,"[00:02:33] Fr. Peter: It's maybe more understandable to think of a pure monotheistic religion — which we do have, a pure monotheistic religion. We really do. But to say there's one God, one person, one God — and if you were Jewish [possibly: pagan] and you believed in many gods, that would be hard enough to accept. But to say you believe in one God who is three persons — that is a very difficult thing. St. Patrick led with this because it is what our Lord told us to lead with. ""All power in heaven and on earth has been given to me."" So St. Patrick did not shy from holding up a shamrock and saying, ""Three and one,"" and to give them something to grip onto in their minds, to have an image around which could later be corrected, modified, where they could enter into a theological understanding of the mystery at hand — but to give them something to begin with. It was so crucial for evangelization for the people of Ireland, at which St. Patrick was incredibly successful.",quote,
C01_icons_of_the_trinity,00:02:33,"[00:02:33] Fr. Peter: It's maybe more understandable to think of a pure monotheistic religion — which we do have, a pure monotheistic religion. We really do. But to say there's one God, one person, one God — and if you were Jewish [possibly: pagan] and you believed in many gods, that would be hard enough to accept. But to say you believe in one God who is three persons — that is a very difficult thing. St. Patrick led with this because it is what our Lord told us to lead with. ""All power in heaven and on earth has been given to me."" So St. Patrick did not shy from holding up a shamrock and saying, ""Three and one,"" and to give them something to grip onto in their minds, to have an image around which could later be corrected, modified, where they could enter into a theological understanding of the mystery at hand — but to give them something to begin with. It was so crucial for evangelization for the people of Ireland, at which St. Patrick was incredibly successful.",named_source,
C01_icons_of_the_trinity,00:05:03,"[00:05:03] Fr. Peter: It recounts the story from Genesis 18. In Genesis 18, there are three visitors sent from God, three angels, that showed up to Abraham and Sarah's tent. Abraham and Sarah quickly, out of an abundance of hospitality, prepared food for their guests, who sat with them and ate. They were near the Oak of Mamre, and there they fed. And it was there that the angels, the three messengers of God, communicated to Abraham that Sarah was to conceive in her old age. And that's where eventually Isaac would be born.",scripture_ref,
C01_icons_of_the_trinity,00:05:46,"[00:05:46] Fr. Peter: And the scene of these three angels, in retrospect, we would look back and say they are a sort of representation of the Trinity. This is a very normal thing for us to do, having been given the revelation that God is both one and three, through Christ, the incarnate Word, and the sending forth of the Holy Spirit. We now know that God has a triune nature. And we can look back in the Old Testament, where this mystery was still hidden, and see resonances of God's Trinitarian nature. And so we might say the first chapter of Genesis, when God says, ""Let us create man in our own image and likeness."" We who now know of God as one and three, we think that the ""us,"" the plural, refers to the Trinity. And we are not wrong. Originally, it referred to the angels, the choirs of angels — ""Let us create,"" God would speak to them. But for us, we can retroactively understand that in its fullest sense, God creates from the Trinity. Likewise, when three angels show up to Abraham and Sarah, we can say this is an Old Testament representation of the Trinity.",quote,
C01_icons_of_the_trinity,00:12:40,"[00:12:40] Fr. Peter: On the left, obviously, would have to be the Father. Now, his outer garment, it's hard to identify. In this picture, it looks pinkish, purplish, with some blue hints to it. It's original — when it was originally written, the colors were meant to be hard to identify, sort of ephemeral and beyond our ability to really name. And this represents the Father. And behind him is a house. Now, the house of Abraham and Sarah, sure. Sure, but also we recall our Lord's words in John 14, ""In my Father's house there are many rooms."" Or we can go back to Luke 2, ""Do you not know I must be about my Father's business and my Father's house,"" that is, the temple. The temple in Jerusalem being the house of the Father, especially for Christ, the second person of the Holy Trinity incarnate. So there's the Father's house there, symbolized by the house of Abraham and Sarah.",quote,
C01_icons_of_the_trinity,00:12:40,"[00:12:40] Fr. Peter: On the left, obviously, would have to be the Father. Now, his outer garment, it's hard to identify. In this picture, it looks pinkish, purplish, with some blue hints to it. It's original — when it was originally written, the colors were meant to be hard to identify, sort of ephemeral and beyond our ability to really name. And this represents the Father. And behind him is a house. Now, the house of Abraham and Sarah, sure. Sure, but also we recall our Lord's words in John 14, ""In my Father's house there are many rooms."" Or we can go back to Luke 2, ""Do you not know I must be about my Father's business and my Father's house,"" that is, the temple. The temple in Jerusalem being the house of the Father, especially for Christ, the second person of the Holy Trinity incarnate. So there's the Father's house there, symbolized by the house of Abraham and Sarah.",scripture_ref,
C01_icons_of_the_trinity,00:15:56,"[00:15:56] Fr. Peter: And this is the part of the table where all three persons of the Trinity are not occupying, and we, as the viewer, are now part of this icon. We are meant, in some ways, to be invited into this feast, to share in the hospitality of Father, Son, and Holy Spirit. And how do we do so? And it's very poignant: the way in which we share in that hospitality is through martyrdom, through the witness of our lives. ""Unless a seed fall to the ground and dies, it remains but a seed. But if it dies, it produces much fruit."" Our insertion into the Holy Trinity through Christ is through a sharing in his sufferings and his death on the cross.",quote,
